id_atleta,mese,anno,stipendio
1,agosto,2022,3124
2,agosto,2022,2599
3,agosto,2022,3310
4,agosto,2022,4456
5,agosto,2022,3497
6,agosto,2022,3996
7,agosto,2022,3988
8,agosto,2022,1018
9,agosto,2022,2074
10,agosto,2022,1376
11,agosto,2022,1863
12,agosto,2022,4272
13,agosto,2022,4021
14,agosto,2022,4107
15,agosto,2022,1493
16,agosto,2022,1056
17,agosto,2022,1028
18,agosto,2022,2212
19,agosto,2022,3133
20,agosto,2022,2492
21,agosto,2022,4897
22,agosto,2022,2317
23,agosto,2022,2951
24,agosto,2022,1323
25,agosto,2022,1742
26,agosto,2022,4117
27,agosto,2022,1575
28,agosto,2022,4260
29,agosto,2022,3572
30,agosto,2022,3574
31,agosto,2022,3245
32,agosto,2022,3532
33,agosto,2022,1045
34,agosto,2022,4298
35,agosto,2022,3460
36,agosto,2022,2143
37,agosto,2022,2448
38,agosto,2022,4963
39,agosto,2022,2854
40,agosto,2022,2784
41,agosto,2022,3294
42,agosto,2022,4078
43,agosto,2022,4888
44,agosto,2022,2913
45,agosto,2022,4391
46,agosto,2022,4098
47,agosto,2022,3007
48,agosto,2022,4220
49,agosto,2022,3863
50,agosto,2022,4599
51,agosto,2022,3088
52,agosto,2022,3478
53,agosto,2022,2281
54,agosto,2022,1106
55,agosto,2022,3242
56,agosto,2022,3774
57,agosto,2022,3960
58,agosto,2022,4197
59,agosto,2022,1497
60,agosto,2022,2115
61,agosto,2022,3404
62,agosto,2022,2606
63,agosto,2022,2387
64,agosto,2022,3669
65,agosto,2022,2019
66,agosto,2022,2325
67,agosto,2022,2142
68,agosto,2022,4140
69,agosto,2022,2411
70,agosto,2022,1063
71,agosto,2022,4977
72,agosto,2022,2294
73,agosto,2022,3936
74,agosto,2022,3939
75,agosto,2022,3844
76,agosto,2022,2154
77,agosto,2022,1651
78,agosto,2022,3915
79,agosto,2022,4116
80,agosto,2022,3110
81,agosto,2022,3418
82,agosto,2022,3211
83,agosto,2022,1747
84,agosto,2022,4011
85,agosto,2022,2603
86,agosto,2022,3855
87,agosto,2022,4817
88,agosto,2022,4211
89,agosto,2022,4712
90,agosto,2022,2483
91,agosto,2022,4717
92,agosto,2022,2645
93,agosto,2022,1213
94,agosto,2022,2674
95,agosto,2022,4818
96,agosto,2022,3197
97,agosto,2022,4973
98,agosto,2022,3336
99,agosto,2022,4081
100,agosto,2022,2896
101,agosto,2022,4866
102,agosto,2022,2034
103,agosto,2022,2891
104,agosto,2022,4995
105,agosto,2022,2545
106,agosto,2022,3676
107,agosto,2022,4268
108,agosto,2022,1475
109,agosto,2022,1783
110,agosto,2022,3579
111,agosto,2022,1681
112,agosto,2022,1258
113,agosto,2022,2410
114,agosto,2022,3714
115,agosto,2022,2832
116,agosto,2022,1218
117,agosto,2022,2597
118,agosto,2022,1771
119,agosto,2022,1055
120,agosto,2022,2998
121,agosto,2022,3079
122,agosto,2022,4752
123,agosto,2022,4402
124,agosto,2022,1753
125,agosto,2022,2877
126,agosto,2022,1837
127,agosto,2022,3013
128,agosto,2022,1079
129,agosto,2022,2194
130,agosto,2022,1640
131,agosto,2022,2040
132,agosto,2022,1737
133,agosto,2022,4364
134,agosto,2022,4218
135,agosto,2022,2147
136,agosto,2022,2226
137,agosto,2022,3091
138,agosto,2022,2820
139,agosto,2022,4567
140,agosto,2022,4790
141,agosto,2022,1686
